"","LATITUDE","LONGITUDE","freq"
"2398",42.2851,-71.1152,14
"2399",42.2851,-71.1148,13
"2416",42.2852,-71.1152,16
"2417",42.2852,-71.1148,11
"2470",42.2857,-71.1586,14
"2491",42.2858,-71.1372,12
"2505",42.2859,-71.1291,13
"2529",42.2861,-71.1549,22
"2547",42.2862,-71.1297,11
"2580",42.2864,-71.1179,11
"2599",42.2866,-71.1304,15
"2652",42.2869,-71.1267,12
"2655",42.2869,-71.1182,12
"2677",42.287,-71.1202,13
"2694",42.2871,-71.1274,72
"2698",42.2871,-71.1163,20
"2711",42.2872,-71.1525,18
"2713",42.2872,-71.1477,12
"2723",42.2872,-71.1095,18
"2734",42.2873,-71.1518,14
"2735",42.2873,-71.1517,17
"2754",42.2874,-71.1203,14
"2764",42.2875,-71.1522,24
"2775",42.2875,-71.1201,18
"2786",42.2876,-71.1533,11
"2793",42.2876,-71.1092,11
"2803",42.2877,-71.1516,41
"2809",42.2877,-71.1205,17
"2811",42.2877,-71.1172,12
"2853",42.288,-71.1366,11
"2868",42.2881,-71.1176,13
"2869",42.2881,-71.1085,11
"2934",42.2885,-71.1128,15
"2943",42.2886,-71.1258,37
"3030",42.2893,-71.1256,11
"3111",42.29,-71.124,12
"3172",42.2905,-71.1681,22
"3176",42.2905,-71.1242,17
"3218",42.2908,-71.1489,14
"3219",42.2908,-71.1488,13
"3240",42.291,-71.1687,13
"3281",42.2912,-71.1215,12
"3289",42.2913,-71.1595,17
"3322",42.2915,-71.1225,13
"3346",42.2917,-71.1347,11
"3349",42.2917,-71.0772,15
"3366",42.2918,-71.1228,20
"3367",42.2918,-71.1225,24
"3412",42.2922,-71.1188,15
"3480",42.2928,-71.1214,52
"3598",42.294,-71.134,18
"3654",42.2947,-71.1208,28
"3655",42.2947,-71.1201,26
"3692",42.2952,-71.1188,12
"3698",42.2953,-71.1183,37
"3699",42.2953,-71.0879,14
"3703",42.2954,-71.118,16
"3713",42.2955,-71.0721,16
"3717",42.2956,-71.122,123
"3756",42.2961,-71.1716,29
"3768",42.2962,-71.0725,14
"3773",42.2963,-71.072,21
"3801",42.2967,-71.1177,15
"3810",42.2968,-71.0785,11
"3827",42.2971,-71.1171,45
"3843",42.2973,-71.1454,13
"3849",42.2974,-71.1727,11
"3863",42.2977,-71.173,15
"3881",42.2978,-71.0723,11
"3883",42.2979,-71.1165,92
"3890",42.298,-71.1149,17
"3898",42.2981,-71.0871,31
"3912",42.2983,-71.1158,49
"3920",42.2985,-71.1724,22
"3929",42.2986,-71.0636,11
"3941",42.2987,-71.0714,13
"3975",42.2993,-71.107,15
"3987",42.2995,-71.1139,11
"3993",42.2996,-71.1156,34
"4002",42.2998,-71.1162,15
"4012",42.3,-71.1132,14
"4028",42.3002,-71.115,12
"4035",42.3002,-71.0661,11
"4037",42.3003,-71.1698,34
"4038",42.3003,-71.1197,42
"4049",42.3004,-71.113,31
"4058",42.3005,-71.1147,23
"4060",42.3005,-71.1066,22
"4069",42.3006,-71.1159,27
"4093",42.3009,-71.1095,19
"4094",42.3009,-71.0837,15
"4114",42.3011,-71.0675,16
"4127",42.3013,-71.0738,13
"4136",42.3014,-71.0706,17
"4158",42.3017,-71.1338,28
"4164",42.3018,-71.1331,15
"4166",42.3018,-71.1121,21
"4177",42.3019,-71.0855,12
"4191",42.3021,-71.0776,14
"4194",42.3022,-71.0874,30
"4216",42.3024,-71.0735,19
"4227",42.3026,-71.1356,16
"4252",42.3029,-71.0782,11
"4297",42.3034,-71.0785,22
"4298",42.3034,-71.0715,18
"4305",42.3036,-71.1253,11
"4321",42.3037,-71.0606,13
"4326",42.3038,-71.0755,13
"4334",42.3038,-71.0601,13
"4347",42.304,-71.1076,17
"4358",42.3041,-71.0608,14
"4371",42.3044,-71.0763,13
"4383",42.3045,-71.0733,29
"4397",42.3046,-71.0612,13
"4402",42.3047,-71.0801,16
"4449",42.3053,-71.0805,40
"4469",42.3055,-71.1115,11
"4471",42.3055,-71.1084,12
"4481",42.3056,-71.1141,11
"4482",42.3056,-71.0779,27
"4492",42.3057,-71.0773,13
"4504",42.3059,-71.119,11
"4509",42.306,-71.0782,43
"4510",42.306,-71.0778,12
"4515",42.3061,-71.1108,14
"4535",42.3064,-71.103,17
"4546",42.3065,-71.058,16
"4552",42.3066,-71.1028,23
"4553",42.3066,-71.0823,17
"4569",42.3068,-71.103,12
"4574",42.3068,-71.0692,12
"4578",42.3069,-71.107,46
"4588",42.3071,-71.1047,13
"4594",42.3071,-71.0626,14
"4607",42.3073,-71.0629,23
"4610",42.3074,-71.1006,11
"4615",42.3075,-71.0794,15
"4618",42.3075,-71.0627,13
